title,description,genres
Spy,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.","['Unknown', 'Unknown', 'Unknown']"
We're the Millers,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,"['Unknown', 'Unknown']"
Bird Box,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.","['Unknown', 'Unknown', 'Unknown']"
Interiors,"When Eve, an interior designer, is deserted by her husband of many years, Arthur, the emotionally glacial relationships of the three grown-up daughters are laid bare. Twisted by jealousy, insecurity and resentment, Renata, a successful writer; Joey, a woman crippled by indecision; and Flyn, a budding actress; struggle to communicate for the sake of their shattered mother. But when their father unexpectedly falls for another woman, his decision to remarry sets in motion a terrible twist of fate…",['Unknown']
Help!,"An obscure Eastern cult that practices human sacrifice pursues Ringo after he unknowingly puts on a ceremonial ring (that, of course, won't come off). On top of that, a pair of mad scientists, members of Scotland Yard, and a beautiful but dead-eyed assassin all have their own plans for the Fab Four.","['Unknown', 'Unknown', 'Unknown']"
Wicker Park,"Matthew, a young advertising executive in Chicago, puts his life and a business trip to China on hold when he thinks he sees Lisa, the love of his life who left him without a word two years earlier, walking out of a restaurant one day.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
How to Lose a Guy in 10 Days,"It's the battle of wills, as Andie needs to prove she can dump a guy in 10 days, whereas Ben needs to prove he can win a girl in 10 days. Now, the clock is ticking—and the wildly entertaining comedy smash is off and running in this irresistible tale of sex, lies and outrageous romantic fireworks!","['Unknown', 'Unknown']"
Payback,"With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Juror #2,"While serving as a juror in a high profile murder trial, family man Justin Kemp finds himself struggling with a serious moral dilemma…one he could use to sway the jury verdict and potentially convict—or free—the accused killer.","['Unknown', 'Unknown']"
Twisters,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.","['Unknown', 'Unknown']"
Alienoid,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Barbarian,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.","['Unknown', 'Unknown']"
The Red Sea Diving Resort,"Sudan, East Africa, 1980. A team of Israeli Mossad agents plans to rescue and transfer thousands of Ethiopian Jews to Israel. To do so, and to avoid raising suspicions from the inquisitive and ruthless authorities, they establish as a cover a fake diving resort by the Red Sea.","['Unknown', 'Unknown', 'Unknown']"
The Man Who Invented Christmas,"In 1843, despite the fact that Dickens is a successful writer, the failure of his latest book puts his career at a crossroads, until the moment when, struggling with inspiration and confronting reality with his childhood memories, a new character is born in the depths of his troubled mind; an old, lonely, embittered man, so vivid, so human, that a whole world grows around him, a story so inspiring that changed the meaning of Christmas forever.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.","['Unknown', 'Unknown', 'Unknown']"
Chronicle,"Three high school students make an incredible discovery, leading to their developing uncanny powers beyond their understanding. As they learn to control their abilities and use them to their advantage, their lives start to spin out of control, and their darker sides begin to take over.","['Unknown', 'Unknown', 'Unknown']"
Quest for Camelot,"During the times of King Arthur, Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthur, and Kayley has to stop him.","['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
You Can Count on Me,"A single mother's life is thrown into turmoil after her struggling, rarely-seen younger brother returns to town.",['Unknown']
Totally Killer,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.","['Unknown', 'Unknown', 'Unknown']"
Frozen Fever,"On Anna's birthday, Elsa and Kristoff are determined to give her the best celebration ever, but Elsa's icy powers may put more than just the party at risk.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Halloweentown II: Kalabar's Revenge,"The Cromwell clan lives in the real world, except for their grandmother who lives in Halloweentown, a place where monsters go to escape reality. But now the son of the Cromwells' old enemy Kalabar has a plan to use the grandmother's book to turn Halloweentown into a grey dreary version of the real world while transforming the denizens of the real world into monsters.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Chicken Run,"The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom.","['Unknown', 'Unknown', 'Unknown']"
Gosford Park,"In 1930s England, a group of pretentious rich and famous gather together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.","['Unknown', 'Unknown', 'Unknown']"
Outlaw King,"Forced into exile by the English after being crowned King of Scotland, legendary warrior Robert the Bruce fights to reclaim the throne.","['Unknown', 'Unknown', 'Unknown']"
Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.","['Unknown', 'Unknown']"
The Misfits Club,"Valeria has just moved to Madrid after her parent's separation. What at first seems a bad start for her new life becomes the beginning of an amazing life experience. New friendships, a city full of possibilities, first love...","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Charlotte's Web,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.","['Unknown', 'Unknown', 'Unknown']"
Kickboxer,"If your enemy refuses to be humbled... Destroy him. Accompanied by his brother Kurt, American kickboxing champion Eric Sloane, arrives in Thailand to defeat the Eastern warriors at their own sport. His opponent: ruthless fighter and Thai champion, Tong Po. Tong not only defeats Eric, he paralyzes him for life. Crazed with anger, Kurt vows revenge.","['Unknown', 'Unknown', 'Unknown']"
Closer,"A love story about chance meetings, instant attractions, and casual betrayals. Four strangers - with one thing in common: each other.","['Unknown', 'Unknown']"
Everybody's Fine,"Eight months after the death of his wife, Frank Goode looks forward to a reunion with his four adult children. When all of them cancel their visits at the last minute, Frank, against the advice of his doctor, sets out on a road trip to reconnect with his offspring. As he visits each one in turn, Frank finds that his children's lives are not quite as picture-perfect as they've made them out to be.",['Unknown']
Riki-Oh: The Story of Ricky,"In 2001, where all correctional facilities have been privatized, martial artist Ricky finds himself victim to the corrupt system, found ""guilty"" of the manslaughter of an infamous crime boss.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Mean Creek,"Teenagers living in small-town Oregon take a boat trip for a birthday celebration. When they get an idea to play a mean trick on the town bully, it suddenly goes too far. Soon they're forced to deal with the unexpected consequences of their actions.","['Unknown', 'Unknown']"
The Last Boy Scout,"When the girl that detective Joe Hallenback is protecting gets murdered, the boyfriend of the murdered girl attempts to investigate and solve the case. What they discover is that there is deep seated corruption going on between a crooked politician and the owner of a pro football team.","['Unknown', 'Unknown']"
Sister Act,"A Reno singer witnesses a mob murder and the cops stash her in a nunnery to protect her from the mob's hitmen. The mother superior does not trust her, and takes steps to limit her influence on the other nuns. Eventually the singer rescues the failing choir and begins helping with community projects, which gets her an interview on TV—and identification by the mob.","['Unknown', 'Unknown']"
The Sisters Brothers,"Oregon, 1851. Hermann Kermit Warm, a chemist and aspiring gold prospector, keeps a profitable secret that the Commodore wants to know, so he sends the Sisters brothers, two notorious assassins, to capture him on his way to California.","['Unknown', 'Unknown', 'Unknown']"
Cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Legend of the Fist: The Return of Chen Zhen,"The Japanese forces occupy Shanghai and slowly start spreading terror in the city. Chen Zhen, who was presumed dead, returns to fight against the Japanese and put an end to their tyrannical rule.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Northanger Abbey,A young woman's penchant for sensational Gothic novels leads to misunderstandings in the matters of the heart.,"['Unknown', 'Unknown', 'Unknown']"
Them!,"As a result of nuclear testing, gigantic, ferocious mutant ants  appear in the American desert southwest, and a father-daughter team of entomologists join forces with the state police officer who first discovers their existence, an FBI agent and, eventually, the US Army to  eradicate the menace, before it spreads across the continent — and the world.","['Unknown', 'Unknown']"
Love Story,"Harvard Law student Oliver Barrett IV and music student Jennifer Cavilleri share a chemistry they cannot deny - and a love they cannot ignore. Despite their opposite backgrounds, the young couple put their hearts on the line for each other. When they marry, Oliver's wealthy father threatens to disown him. Jenny tries to reconcile the Barrett men, but to no avail.","['Unknown', 'Unknown']"
A Lot Like Love,"On a flight from Los Angeles to New York, Oliver and Emily make a connection, only to decide that they are poorly suited to be together. Over the next seven years, however, they are reunited time and time again, they go from being acquaintances to close friends to ... lovers?","['Unknown', 'Unknown', 'Unknown']"
Step Up All In,"All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.","['Unknown', 'Unknown', 'Unknown']"
Son of God,"In the Holy Land, the Roman occupation has produced a cauldron of oppression, anxiety and excessive taxes levied upon the Jewish people. Fearing the wrath of Roman governor Pontius Pilate , Jewish high priest Caiaphas tries to keep control of his people. That control is threatened when Jesus arrives in Jerusalem, performing miracles and spreading messages of love and hope. Those who fear that Jesus will inspire a revolution decide that he must die.",['Unknown']
Battle of the Year,"A down-on-his-luck coach is hired to prepare a team of the best American dancers for an international tournament that attracts all the best crews from around the world, but the Americans haven't won in fifteen years.","['Unknown', 'Unknown']"
Creature from the Black Lagoon,"When scientists exploring the Amazon River stumble on a “missing link” connecting humans and fish, they plan to capture it for later study. But the Creature has plans of his own, and has set his sights on the lead scientist's beautiful fiancée, Kay.","['Unknown', 'Unknown', 'Unknown']"
Overboard,"Heiress Joanna Stayton hires carpenter Dean Proffitt to build a closet on her yacht—and refuses to pay him for the project when it's done. But after Joanna accidentally falls overboard and loses her memory, Dean sees an opportunity to get even.","['Unknown', 'Unknown']"
Kill Boksoon,"At work, she's a renowned assassin. At home, she's a single mom to a teenage daughter. Killing? That's easy. It's parenting that's the hard part.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
The African Doctor,"1975. When Seyolo Zantoko, a doctor from the Congo who has managed, along with his family, to flee tyranny, is hired by the mayor of a small town in northern France, he begins a struggle to adapt to a new life and gain the trust of the prejudiced villagers.",['Unknown']
Where Am I Going?,"Checco is 39 and lived his entire life with his parents. He loves his job where he does nothing the whole day, until something happens that will change his behavior and his life forever...",['Unknown']
Now You See Me 2,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.","['Unknown', 'Unknown']"
Everest,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.","['Unknown', 'Unknown', 'Unknown']"
Dragon Ball: Curse of the Blood Rubies,The great King Gurumes is searching for the Dragon Balls in order to put a stop to his endless hunger. A young girl named Pansy who lives in the nearby village has had enough of the treachery and decides to seek Muten Rōshi for assistance. Can our heroes save the village and put a stop to the Gurumes Army?,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Eden Lake,"When a young couple goes to a remote wooded lake for a romantic getaway, their quiet weekend is shattered by an aggressive group of local kids. Rowdiness quickly turns to rage as the teens terrorize the couple in unimaginable ways, and a weekend outing becomes a bloody battle for survival.","['Unknown', 'Unknown']"
Slap Shot,"To build up attendance at their games, the management of a struggling minor-league hockey team signs up the Hanson Brothers, three hard-charging players whose job is to demolish the opposition.","['Unknown', 'Unknown']"
Kandahar,"After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.","['Unknown', 'Unknown']"
Innerspace,"Test pilot Tuck Pendleton volunteers to test a special vessel for a miniaturization experiment. Accidentally injected into a neurotic hypochondriac, Jack Putter, Tuck must convince Jack to find his ex-girlfriend, Lydia Maxwell, to help him extract Tuck and his ship and re-enlarge them before his oxygen runs out.","['Unknown', 'Unknown', 'Unknown']"
Hit Man,A mild-mannered professor moonlighting as a fake hit man in police stings ignites a chain reaction of trouble when he falls for a potential client.,"['Unknown', 'Unknown', 'Unknown']"
To All the Boys: P.S. I Still Love You,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,"['Unknown', 'Unknown']"
Win Win,"When down-on-his-luck part-time high school wrestling coach Mike agrees to become legal guardian to an elderly man, his ward's troubled grandson turns out to be a star grappler, sparking dreams of a big win -- until the boy's mother retrieves him.","['Unknown', 'Unknown']"
Brick,A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.,"['Unknown', 'Unknown']"
Jumanji: Welcome to the Jungle,"Four teenagers in detention discover an old video game console with a game they’ve never heard of. When they decide to play, they are immediately sucked into the jungle world of Jumanji in the bodies of their avatars. They’ll have to complete the adventure of their lives filled with fun, thrills and danger or be stuck in the game forever!","['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
The House at the End of Time,"The story of Dulce, a mother who has encounters with apparitions inside her old house. She must decipher a mystery that could trigger a prophecy: the death of her family.","['Unknown', 'Unknown', 'Unknown']"
The Ghost Writer,A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politician's assistant drowns in a mysterious accident.,"['Unknown', 'Unknown']"
Seven Psychopaths,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.,"['Unknown', 'Unknown']"
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,Agent Coulson stops at a convenience store and deals with a coincidental robbery during his visit.,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Easy A,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",['Unknown']
A Passage to India,"Set during the period of growing influence of the Indian independence movement in the British Raj, the story begins with the arrival in India of a British woman, Miss Adela Quested, who is joining her fiancé, a city magistrate named Ronny Heaslop. She and Ronny's mother, Mrs. Moore, befriend an Indian doctor, Aziz H. Ahmed.","['Unknown', 'Unknown', 'Unknown']"
Dark Water,A woman in the midst of an unpleasant divorce moves to an eerie apartment building with her young daughter. The ceiling of their apartment has a dark and active leak.,"['Unknown', 'Unknown', 'Unknown']"
The Princess Switch: Switched Again,"When Duchess Margaret unexpectedly inherits the throne & hits a rough patch with Kevin, it’s up to Stacy to save the day before a new lookalike — party girl Fiona — foils their plans.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Step Up 3D,"A tight-knit group of New York City street dancers, including Luke and Natalie, team up with NYU freshman Moose, and find themselves pitted against the world's best hip hop dancers in a high-stakes showdown that will change their lives forever.","['Unknown', 'Unknown']"
Harry Brown,An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,"['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Holy Camp!,"María and Susana, two rebellious teenagers, spend the summer in a catholic camp. While they are grounded during a weekend, the most unexpected arrival in the most unexpected way will change their feelings about life, love and freedom.","['Unknown', 'Unknown']"
Hesher,A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.,['Unknown']
Talcum Powder,"Sergio Benvenuti is a shy seller of contracts for a Roman company of music, but because of his character he cannot find even a customer, so he asks for help from a fellow named Nadia.",['Unknown']
Time After Time,Writer H. G. Wells pursues Jack the Ripper to modern day San Francisco after the infamous serial killer steals his time machine to escape the 19th century.,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
The Ipcress File,"Sly and dry intelligence agent Harry Palmer is tasked with investigating British Intelligence security, and is soon enmeshed in a world of double-dealing, kidnap and murder when he finds a traitor operating at the heart of the secret service.",['Unknown']
Leopardi,"In 19th-century Italy, Giacomo Leopardi channels his debilitating illness and isolation into poetry.","['Unknown', 'Unknown']"
Non-Stop,"Bill Marks is a Federal Air Marshall for whom every day is the same until this one. On this plane ride, he starts receiving text messages from someone claiming to be on the flight and threatening to kill passengers. In a race against the clock, he must identify and stop the killer to save everyone on board.","['Unknown', 'Unknown', 'Unknown']"
My Awkward Sexual Adventure,A hyper-repressed and schlubby accountant (Jonas Chernick) strikes a deal with a worldly but disorganized stripper (Emily Hampshire): he'll help her with her crushing debt if she helps him become a better lover.,"['Unknown', 'Unknown', 'Unknown']"
The World's End,Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.,"['Unknown', 'Unknown', 'Unknown']"
Kundun,"The Tibetans refer to the Dalai Lama as 'Kundun', which means 'The Presence'. He was forced to escape from his native home, Tibet, when communist China invaded and enforced an oppressive regime upon the peaceful nation. The Dalai Lama escaped to India in 1959 and has been living in exile in Dharamsala ever since.","['Unknown', 'Unknown']"
The Marksman,"Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.","['Unknown', 'Unknown', 'Unknown']"
Let Him Go,"Following the loss of their son, a retired sheriff and his wife leave their Montana ranch to rescue their young grandson from the clutches of a dangerous family living off the grid in the Dakotas.","['Unknown', 'Unknown', 'Unknown']"
Go!,"Jack is a charismatic larrikin who has just discovered the one thing he's really good at — go-kart racing. With the support of his mentor, Patrick, an old race car driver with a secret past, and his best mates Colin and Mandy, Jack must learn to control his recklessness if he is to defeat the best drivers in Australia, including the ruthless champion Dean, and win the National title.",['Unknown']
Stage Fright,A struggling actress tries to help a friend prove his innocence when he's accused of murdering the husband of a high-society entertainer.,['Unknown']
Shut In,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.,"['Unknown', 'Unknown', 'Unknown']"
Bleed for This,"The inspirational story of World Champion Boxer Vinny Pazienza, who after a near fatal car crash, which left him not knowing if he'd ever walk again, made one of sports most incredible comebacks.",['Unknown']
The Water Diviner,"In 1919, Australian farmer Joshua Connor travels to Turkey to discover the fate of his three sons, reported missing in action. Holding on to hope, Joshua must travel across the war-torn landscape to find the truth and his own peace.","['Unknown', 'Unknown']"
Il ragazzo di campagna,A man is forced to completely change his habits when he decides to move from the country to the city.,['Unknown']
Phenomena,"A young girl, with an amazing ability to communicate with insects, is transferred to an exclusive Swiss boarding school, where her unusual capability might help solve a string of murders.","['Unknown', 'Unknown']"
Niagara,"Rose Loomis and her older, gloomier husband, George, are vacationing at a cabin in Niagara Falls, N.Y. The couple befriend Polly and Ray Cutler, who are honeymooning in the area. Polly begins to suspect that something is amiss between Rose and George, and her suspicions grow when she sees Rose in the arms of another man. While Ray initially thinks Polly is overreacting, things between George and Rose soon take a shockingly dark turn.","['Unknown', 'Unknown']"
Human Traffic,"For Jip, Lulu, Koop, Nina and Moff, the dead-end jobs they endure during the week just kill the time until Friday night. That's when they cut very loose and get on the rollercoaster ride that takes them right through to Monday morning.","['Unknown', 'Unknown']"
After Ever Happy,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.","['Unknown', 'Unknown']"
Below Her Mouth,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,"['Unknown', 'Unknown']"
Captain Marvel,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.","['Unknown', 'Unknown', 'Unknown']"
Babysitting,"Looking for a baby-sitter for the night, Marc Schaudel entrusts his son Remy to the care of his employee Franck, a straight man. But the thing that Marc doesn't know, is that Franck is getting 30 years old this weekend and that his son Remy is a very capricious child. The next day, Marc and his wife Claire are awakened by a call from the police. Remy and Franck are missing, and the house is totally devastated. The police finds a camera in the leftovers. Marc, Claire and the police start watching the video that has been recorded the day before during the night and find out what happened to Franck and Remy.",['Unknown']
'71,A young British soldier must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.,"['Unknown', 'Unknown', 'Unknown', 'Unknown']"
House of Games,"A psychiatrist comes to the aid of a compulsive gambler and is led by a smooth-talking grifter into the shadowy but compelling world of stings, scams, and con men.","['Unknown', 'Unknown', 'Unknown']"
The Family Man,"Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Danger Close: The Battle of Long Tan,"Vietnam War, 1966. Australia and New Zealand send troops to support the United States and South Vietnamese in their fight against the communist North. Soldiers are very young men, recruits and volunteers who have never been involved in a combat. On August 18th, members of Delta Company will face the true horror of a ruthless battle among the trees of a rubber plantation called Long Tân. They are barely a hundred. The enemy is a human wave ready to destroy them.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
The Naked Gun 2½: The Smell of Fear,"Bumbling lieutenant Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business.","['Unknown', 'Unknown']"
Fast Times at Ridgemont High,"Based on the real-life adventures chronicled by Cameron Crowe, Fast Times follows a group of high school students growing up in Southern California. Stacy Hamilton and Mark Ratner are looking for a love interest, and are helped along by their older classmates, Linda Barrett and Mike Damone, respectively. At the center of the film is Jeff Spicoli, a perpetually stoned surfer who faces-off with the resolute Mr. Hand—a man convinced that everyone is on dope.",['Unknown']
11:14,Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.,"['Unknown', 'Unknown', 'Unknown']"
The Aeronauts,"In 1862, daredevil balloon pilot Amelia Wren teams up with pioneering meteorologist James Glaisher to advance human knowledge of the weather and fly higher than anyone in history. While breaking records and advancing scientific discovery, their voyage to the very edge of existence helps the unlikely pair find their place in the world they have left far below them. But they face physical and emotional challenges in the thin air, as the ascent becomes a fight for survival.","['Unknown', 'Unknown', 'Unknown']"
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,"After living a long and colorful life, Allan Karlsson finds himself stuck in a nursing home. On his 100th birthday, he leaps out a window and begins an unexpected journey.","['Unknown', 'Unknown', 'Unknown']"
The Restaurant,"A great French restaurant's owner, Monsieur Septime, is thrust into intrigue and crime, when one of his famous guests disappears.",['Unknown']
Resident Evil: Degeneration,"Leon S. Kennedy and Claire Redfield must battle a rogue warrior seeking revenge after unleashing the deadly G-Virus, whilst a mutated monster goes on a rampage.","['Unknown', 'Unknown', 'Unknown', 'Unknown']"
Rio Grande,"Lt. Col. Kirby Yorke is posted on the Texas frontier to defend settlers against depredations of marauding Apaches. Col. Yorke is under considerable stress by a serious shortage of troops of his command. Tension is added when Yorke's son (whom he hasn't seen in fifteen years), Trooper Jeff Yorke, is one of 18 recruits sent to the regiment.",['Unknown']
Sorry to Bother You,"In an alternate present-day version of Oakland, black telemarketer Cassius Green discovers a magical key to professional success – which propels him into a macabre universe.","['Unknown', 'Unknown', 'Unknown']"
Allied,"In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.","['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Heaven's Gate,"Harvard graduate James Averill serves as the sheriff of prosperous Jackson County, Wyo., standing at the center of a conflict between impoverished immigrants and affluent cattle farmers. Politically connected ranchers enlist mercenary Nathan Champion—who is also vying for the affections of local madam Ella Watson—to combat the immigrant uprising. As tensions escalate, both Averill and Champion start to question their decisions.","['Unknown', 'Unknown']"
Legally Blonde,"Fashionable sorority queen Elle Woods has it all, but, she wants nothing more than to be Mrs. Warner Huntington III. But he dumps her before heading to Harvard Law School. Elle rallies all of her resources and gets into Harvard, determined to win him back. While there, she figures out that there is more to herself than just good looks.","['Unknown', 'Unknown']"
eXistenZ,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,"['Unknown', 'Unknown', 'Unknown']"
Let Me In,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.  A remake of the movie “Let The Right One In” which was an adaptation of a book.,"['Unknown', 'Unknown', 'Unknown']"
Winter's Bone,"After discovering her father put their house up for his bail bond and then disappeared, 17-year-old Ree Dolly must confront the local criminal underworld and the harsh Ozark wilderness in order to to track down her father and save her family.","['Unknown', 'Unknown']"
Chitty Chitty Bang Bang,"A hapless inventor finally finds success with a flying car, which a dictator from a foreign government sets out to take for himself.","['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
The Curse of Frankenstein,Baron Victor Frankenstein has discovered life's secret and unleashed a blood-curdling chain of events resulting from his creation: a cursed creature with a horrid face — and a tendency to kill.,"['Unknown', 'Unknown']"
Wild Rose,"A young Scottish singer, Rose-Lynn Harlan, dreams of making it as a country artist in Nashville after being released from prison.","['Unknown', 'Unknown', 'Unknown']"
Tom at the Farm,"A young man travels to an isolated farm for his lover's funeral where he's quickly drawn into a twisted, sexually charged game by his lover's aggressive brother.","['Unknown', 'Unknown', 'Unknown']"
The Return of the Pink Panther,The famous Pink Panther jewel has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that 'The Phantom' has returned and utilises all of his resources – himself and his Asian manservant – to reveal the identity of 'The Phantom'.,"['Unknown', 'Unknown', 'Unknown']"
I'm Your Man,"Alma is a scientist coerced into participating in an extraordinary study in order to obtain research funds for her work. For three weeks, she has to live with a humanoid robot tailored to her character and needs, whose artificial intelligence is designed to be the perfect life partner for her. Enter Tom, a machine in human form in a class of its own, created solely to make her happy.","['Unknown', 'Unknown', 'Unknown']"
The Sadness,"A young couple is pushed to the limits of sanity as they attempt to be reunited amid the chaos of a pandemic outbreak. The streets erupt into violence and depravity, as those infected are driven to enact the most cruel and ghastly things imaginable.","['Unknown', 'Unknown']"
